Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
1789,13.9688,-2.97,26.92,-0.27,5.45,44.2,-0.37,1.74,24.2,-7.44,12.73,-5.89,27.87,-3.79,14.47,0.44,1.37,3.48,-5.07,-8.03,14.42,7.37,55.87,29.39,-12.51,-62.78,9.45,-7.33,-60.06,5.27,-0.45,95.99,28.74,0.49,-28.29,-15.59,-32.51,105.65,-35.87
1790,13.9766,-3.04,26.87,-0.29,5.17,44.33,-0.32,1.82,24.21,-7.43,12.77,-6.19,27.78,-3.65,14.37,0.17,1.2,3.33,-5.06,-8.2,14.29,7.43,56.54,29.39,-12.15,-63.47,9.44,-7.8,-60.94,5.93,-1.22,96.7,29.23,0.67,-28.32,-14.87,-33.83,106.57,-39.4
1791,13.9844,-3.08,26.82,-0.31,4.82,44.42,-0.1,1.86,24.28,-7.4,12.85,-6.69,27.63,-3.48,14.22,-0.25,1.11,3.24,-5.03,-8.31,14.19,7.14,57.19,29.21,-11.55,-64.31,9.33,-8.29,-61.63,6.31,-2.01,97.46,29.63,0.69,-27.99,-14.04,-35.22,107.75,-43.33
1792,13.9922,-3.09,26.77,-0.37,4.42,44.5,0.21,1.85,24.42,-7.38,12.95,-7.38,27.44,-3.29,14.03,-0.8,1.09,3.23,-4.98,-8.34,14.12,6.5,57.7,28.88,-10.8,-65.31,9.21,-8.68,-61.95,6.52,-2.83,98.26,29.94,0.8,-27.2,-13.02,-36.62,109.18,-47.69
1793,14,-3.09,26.71,-0.43,4.01,44.55,0.58,1.8,24.62,-7.33,13.03,-8.2,27.23,-3.07,13.8,-1.46,1.1,3.3,-4.91,-8.27,14.08,5.73,57.89,28.37,-9.98,-66.39,9.13,-8.78,-61.68,6.76,-3.7,98.99,30.2,1.14,-26.35,-12.19,-38,110.95,-52.54
1794,14.0078,-3.06,26.63,-0.51,3.66,44.54,0.96,1.71,24.85,-7.27,13.07,-9.1,27.02,-2.84,13.56,-2.18,1.14,3.45,-4.81,-8.08,14.07,5.12,57.72,27.66,-9.2,-67.47,9.13,-8.51,-60.97,7.14,-4.62,99.58,30.41,1.62,-25.45,-11.5,-39.21,113.09,-57.83
1795,14.0156,-3,26.53,-0.61,3.43,44.54,1.24,1.6,25.08,-7.21,13.05,-10.01,26.79,-2.58,13.32,-2.91,1.19,3.65,-4.7,-7.8,14.07,4.71,57.39,26.88,-8.56,-68.53,9.24,-8.09,-60.07,7.45,-5.59,99.97,30.57,2.05,-24.39,-10.8,-40.28,115.72,-63.5
1796,14.0234,-2.93,26.41,-0.71,3.35,44.52,1.38,1.47,25.3,-7.15,12.99,-10.9,26.57,-2.32,13.1,-3.64,1.25,3.89,-4.58,-7.45,14.08,4.42,56.92,26.15,-8.14,-69.51,9.51,-7.69,-59.2,7.52,-6.61,100.16,30.69,2.34,-23.35,-10.22,-41.21,119.16,-69.59
1797,14.0313,-2.86,26.26,-0.79,3.4,44.47,1.36,1.35,25.48,-7.11,12.92,-11.75,26.36,-2.06,12.93,-4.33,1.31,4.14,-4.45,-7.04,14.09,4.27,56.28,25.55,-7.99,-70.32,9.92,-7.37,-58.56,7.39,-7.66,100.17,30.83,2.54,-22.67,-9.82,-41.98,123.58,-75.92
1798,14.0391,-2.78,26.09,-0.87,3.54,44.4,1.2,1.23,25.61,-7.08,12.87,-12.53,26.18,-1.81,12.8,-4.97,1.35,4.37,-4.33,-6.62,14.08,4.22,55.49,25.11,-8.07,-70.88,10.45,-7.12,-58.28,7.2,-8.71,99.98,31,2.72,-22.42,-9.47,-42.55,129.47,-82.55
1799,14.0469,-2.7,25.91,-0.91,3.7,44.31,0.96,1.13,25.68,-7.08,12.87,-13.22,26.06,-1.58,12.74,-5.51,1.34,4.57,-4.23,-6.21,14.06,4.18,54.62,24.81,-8.27,-71.18,11.09,-6.97,-58.36,6.96,-9.73,99.55,31.14,2.88,-22.49,-9.12,-42.56,136.54,-89.18
1800,14.0547,-2.65,25.72,-0.92,3.84,44.21,0.7,1.07,25.7,-7.11,12.93,-13.8,26.02,-1.39,12.74,-5.97,1.27,4.71,-4.16,-5.82,14.01,4.11,53.74,24.59,-8.52,-71.33,11.78,-6.91,-58.67,6.66,-10.72,98.96,31.19,2.99,-22.74,-8.8,-41.87,143.36,-94.77
1801,14.0625,-2.61,25.51,-0.9,3.93,44.14,0.44,1.04,25.67,-7.15,13.02,-14.29,26.06,-1.24,12.78,-6.35,1.13,4.79,-4.12,-5.48,13.93,4.01,52.91,24.4,-8.79,-71.47,12.52,-6.86,-59.14,6.34,-11.62,98.33,31.1,3.06,-23.09,-8.52,-40.54,149.33,-98.82
1802,14.0703,-2.58,25.27,-0.84,3.97,44.11,0.19,1.05,25.59,-7.19,13.1,-14.68,26.17,-1.1,12.88,-6.65,0.92,4.81,-4.11,-5.18,13.83,3.92,52.14,24.21,-9.07,-71.77,13.28,-6.75,-59.61,6.07,-12.46,97.92,30.99,3.11,-23.35,-8.24,-38.69,154.24,-100.95
1803,14.0781,-2.57,25.02,-0.76,3.96,44.14,-0.03,1.08,25.49,-7.25,13.17,-15,26.32,-0.98,13.01,-6.9,0.67,4.79,-4.12,-4.92,13.73,3.85,51.46,23.98,-9.35,-72.29,14.02,-6.54,-59.96,5.88,-13.13,98.03,31,3.18,-23.4,-7.95,-36.41,158.02,-101.45
1804,14.0859,-2.57,24.77,-0.66,3.91,44.22,-0.24,1.15,25.37,-7.29,13.21,-15.27,26.49,-0.87,13.16,-7.13,0.4,4.73,-4.15,-4.72,13.62,3.77,50.88,23.75,-9.67,-73.05,14.73,-6.25,-60.16,5.76,-13.69,98.49,31.03,3.27,-23.25,-7.66,-33.55,161.4,-101.14
1805,14.0938,-2.59,24.5,-0.53,3.83,44.35,-0.41,1.27,25.27,-7.32,13.21,-15.52,26.67,-0.76,13.32,-7.35,0.14,4.64,-4.19,-4.56,13.51,3.67,50.37,23.5,-10.02,-73.96,15.4,-5.93,-60.22,5.67,-14.12,99.12,31.02,3.38,-22.89,-7.36,-30.29,164.5,-100.42
1806,14.1016,-2.62,24.24,-0.39,3.72,44.52,-0.54,1.41,25.19,-7.33,13.2,-15.78,26.84,-0.68,13.47,-7.58,-0.1,4.54,-4.23,-4.44,13.41,3.52,49.96,23.24,-10.4,-74.9,16.03,-5.58,-60.11,5.61,-14.32,99.77,30.95,3.51,-22.3,-7.05,-26.91,167.13,-99.43
1807,14.1094,-2.66,23.97,-0.24,3.57,44.71,-0.6,1.57,25.14,-7.32,13.19,-16.07,26.98,-0.6,13.6,-7.83,-0.3,4.44,-4.29,-4.36,13.33,3.34,49.63,22.95,-10.81,-75.79,16.61,-5.24,-59.86,5.57,-14.32,100.38,30.87,3.63,-21.5,-6.73,-23.61,169.14,-98.24
1808,14.1172,-2.7,23.7,-0.09,3.4,44.93,-0.57,1.75,25.14,-7.28,13.19,-16.41,27.11,-0.56,13.71,-8.12,-0.44,4.35,-4.35,-4.31,13.25,3.11,49.4,22.62,-11.26,-76.59,17.15,-4.93,-59.53,5.53,-14.25,100.86,30.82,3.74,-20.56,-6.41,-20.56,170.56,-96.94
1809,14.125,-2.75,23.42,0.07,3.25,45.18,-0.48,1.95,25.19,-7.2,13.21,-16.79,27.21,-0.53,13.77,-8.45,-0.55,4.26,-4.41,-4.27,13.19,2.87,49.24,22.26,-11.68,-77.27,17.64,-4.66,-59.17,5.46,-14.19,101.03,30.71,3.85,-19.53,-6.09,-17.82,171.32,-95.47
1810,14.1328,-2.79,23.14,0.22,3.14,45.45,-0.33,2.13,25.28,-7.1,13.23,-17.22,27.29,-0.53,13.79,-8.8,-0.63,4.19,-4.48,-4.23,13.14,2.64,49.13,21.87,-12.06,-77.83,18.08,-4.43,-58.83,5.36,-14.08,100.95,30.51,3.96,-18.5,-5.78,-15.49,171.13,-93.76
1811,14.1406,-2.83,22.86,0.34,3.09,45.72,-0.16,2.3,25.42,-6.97,13.25,-17.66,27.36,-0.51,13.76,-9.17,-0.71,4.14,-4.53,-4.2,13.1,2.45,49.05,21.45,-12.4,-78.29,18.48,-4.22,-58.6,5.24,-13.9,100.67,30.21,4.08,-17.57,-5.48,-13.56,169.86,-91.84
1812,14.1484,-2.85,22.59,0.44,3.09,45.99,0.01,2.45,25.63,-6.83,13.25,-18.1,27.41,-0.46,13.69,-9.52,-0.8,4.1,-4.57,-4.16,13.07,2.31,48.98,21.01,-12.72,-78.61,18.87,-4.04,-58.53,5.08,-13.69,100.14,29.81,4.21,-16.81,-5.18,-12.01,167.53,-89.77
1813,14.1563,-2.86,22.32,0.51,3.13,46.23,0.19,2.58,25.89,-6.69,13.26,-18.53,27.45,-0.4,13.57,-9.85,-0.92,4.08,-4.6,-4.11,13.05,2.2,48.91,20.52,-13,-78.74,19.26,-3.89,-58.65,4.89,-13.45,99.29,29.33,4.34,-16.23,-4.89,-10.8,164.24,-87.61
1814,14.1641,-2.87,22.07,0.56,3.21,46.45,0.41,2.7,26.19,-6.52,13.27,-18.94,27.49,-0.32,13.4,-10.16,-1.07,4.07,-4.63,-4.04,13.03,2.09,48.82,19.98,-13.22,-78.69,19.69,-3.76,-58.91,4.65,-13.08,98.23,28.81,4.48,-15.79,-4.61,-9.92,160.11,-85.4
1815,14.1719,-2.86,21.84,0.59,3.32,46.65,0.64,2.8,26.52,-6.34,13.29,-19.33,27.53,-0.22,13.2,-10.42,-1.25,4.06,-4.67,-3.95,13.03,1.98,48.73,19.39,-13.4,-78.48,20.17,-3.65,-59.26,4.38,-12.54,96.98,28.24,4.61,-15.42,-4.34,-9.87,154.1,-83.03
1816,14.1797,-2.84,21.61,0.6,3.46,46.82,0.88,2.89,26.85,-6.16,13.32,-19.68,27.58,-0.11,12.98,-10.65,-1.47,4.06,-4.71,-3.84,13.03,1.87,48.65,18.78,-13.53,-78.11,20.67,-3.53,-59.62,4.08,-11.81,95.54,27.63,4.72,-15.03,-4.08,-9.56,148.7,-80.63
1817,14.1875,-2.81,21.4,0.61,3.64,46.98,1.11,2.98,27.18,-5.95,13.36,-19.99,27.64,0.02,12.74,-10.86,-1.72,4.07,-4.76,-3.71,13.03,1.82,48.6,18.17,-13.62,-77.56,21.19,-3.4,-59.9,3.81,-10.87,93.98,27,4.81,-14.54,-3.82,-9.48,143.09,-78.04
1818,14.1953,-2.77,21.19,0.63,3.86,47.13,1.31,3.07,27.48,-5.74,13.42,-20.27,27.7,0.18,12.49,-11.03,-1.99,4.07,-4.81,-3.57,13.04,1.82,48.56,17.59,-13.71,-76.92,21.7,-3.25,-60.06,3.59,-9.72,92.47,26.41,4.86,-13.87,-3.55,-9.58,137.67,-75.24
1819,14.2031,-2.72,21,0.64,4.12,47.29,1.48,3.17,27.76,-5.52,13.48,-20.52,27.77,0.36,12.25,-11.19,-2.29,4.08,-4.87,-3.42,13.05,1.87,48.56,17.05,-13.82,-76.21,22.24,-3.08,-60.09,3.4,-8.36,91.05,25.87,4.89,-13.02,-3.26,-9.81,132.68,-72.22
1820,14.2109,-2.67,20.81,0.66,4.39,47.46,1.61,3.28,27.99,-5.29,13.54,-20.74,27.84,0.56,12.01,-11.33,-2.6,4.09,-4.94,-3.26,13.07,1.94,48.57,16.55,-13.92,-75.46,22.83,-2.91,-60.02,3.22,-6.73,89.74,25.4,4.92,-12.06,-2.96,-10.15,128.29,-68.96
1821,14.2188,-2.61,20.63,0.69,4.68,47.63,1.71,3.4,28.17,-5.06,13.61,-20.94,27.92,0.79,11.79,-11.46,-2.92,4.09,-5.01,-3.09,13.09,2,48.59,16.09,-14.03,-74.68,23.49,-2.74,-59.91,3.06,-4.84,88.69,24.93,4.94,-11.03,-2.66,-10.49,124.82,-65.48
1822,14.2266,-2.55,20.47,0.74,4.95,47.79,1.77,3.53,28.31,-4.83,13.68,-21.14,28,1.06,11.58,-11.58,-3.25,4.09,-5.08,-2.91,13.11,2.04,48.59,15.66,-14.09,-73.85,24.21,-2.58,-59.79,2.89,-2.75,87.53,24.52,4.97,-10,-2.34,-10.97,121.8,-61.75
1823,14.2344,-2.5,20.31,0.81,5.2,47.94,1.83,3.67,28.41,-4.59,13.73,-21.34,28.08,1.37,11.39,-11.71,-3.59,4.08,-5.16,-2.74,13.13,2.05,48.57,15.24,-14.09,-72.93,24.98,-2.43,-59.72,2.7,-0.47,86.4,24.11,4.99,-9.01,-2.03,-11.49,119.49,-57.89
1824,14.2422,-2.45,20.17,0.89,5.42,48.07,1.87,3.83,28.48,-4.35,13.77,-21.54,28.17,1.72,11.23,-11.84,-3.94,4.07,-5.24,-2.57,13.14,2.01,48.52,14.84,-14,-71.89,25.81,-2.3,-59.71,2.51,2.01,85.32,23.7,5,-8.09,-1.71,-12.02,117.69,-53.83
1825,14.25,-2.41,20.04,0.99,5.6,48.19,1.9,3.99,28.53,-4.1,13.8,-21.74,28.25,2.1,11.08,-11.97,-4.29,4.06,-5.33,-2.41,13.16,1.93,48.44,14.44,-13.82,-70.74,26.67,-2.17,-59.77,2.3,4.67,84.45,23.21,4.98,-7.24,-1.39,-12.54,116.51,-49.62
1826,14.2578,-2.37,19.93,1.1,5.75,48.3,1.93,4.18,28.58,-3.87,13.81,-21.95,28.32,2.49,10.95,-12.1,-4.64,4.02,-5.43,-2.26,13.17,1.83,48.33,14.04,-13.57,-69.49,27.53,-2.05,-59.86,2.11,7.44,83.64,22.67,4.95,-6.42,-1.06,-13.09,115.68,-45.31
1827,14.2656,-2.34,19.83,1.22,5.87,48.39,1.96,4.37,28.61,-3.63,13.82,-22.18,28.39,2.89,10.83,-12.24,-4.98,3.98,-5.52,-2.12,13.19,1.72,48.21,13.65,-13.31,-68.21,28.36,-1.93,-59.99,1.94,10.23,82.92,22.08,4.9,-5.65,-0.73,-13.6,115.05,-40.9
1828,14.2734,-2.31,19.74,1.36,5.97,48.48,2,4.58,28.65,-3.38,13.81,-22.41,28.45,3.27,10.71,-12.38,-5.32,3.94,-5.62,-1.98,13.2,1.65,48.07,13.26,-13.01,-66.85,29.15,-1.8,-60.12,1.84,12.97,82.07,21.46,4.83,-4.88,-0.39,-14.06,114.42,-36.4
1829,14.2813,-2.3,19.67,1.51,6.06,48.56,2.06,4.8,28.68,-3.13,13.81,-22.63,28.51,3.64,10.6,-12.53,-5.66,3.89,-5.73,-1.84,13.2,1.61,47.93,12.88,-12.75,-65.59,29.89,-1.65,-60.22,1.79,15.67,81.37,20.71,4.74,-4.1,-0.05,-14.39,113.92,-31.85
1830,14.2891,-2.28,19.6,1.67,6.16,48.64,2.11,5.03,28.72,-2.87,13.8,-22.85,28.57,3.99,10.49,-12.68,-5.99,3.82,-5.83,-1.71,13.21,1.64,47.81,12.51,-12.56,-64.55,30.56,-1.49,-60.3,1.81,18.33,81.01,19.74,4.63,-3.27,0.31,-14.54,113.62,-27.24
1831,14.2969,-2.27,19.54,1.83,6.28,48.73,2.15,5.27,28.76,-2.61,13.8,-23.05,28.62,4.32,10.36,-12.83,-6.31,3.75,-5.95,-1.57,13.22,1.71,47.71,12.15,-12.44,-63.73,31.14,-1.32,-60.34,1.87,20.88,80.76,18.61,4.51,-2.39,0.67,-14.55,113.28,-22.57
1832,14.3047,-2.25,19.49,1.99,6.42,48.82,2.18,5.53,28.82,-2.34,13.81,-23.24,28.66,4.61,10.22,-12.97,-6.63,3.66,-6.07,-1.43,13.23,1.82,47.62,11.82,-12.38,-63.22,31.63,-1.16,-60.34,1.96,23.28,80.61,17.35,4.38,-1.45,1.05,-14.4,112.79,-17.85
1833,14.3125,-2.24,19.45,2.15,6.58,48.91,2.2,5.8,28.9,-2.06,13.82,-23.41,28.69,4.87,10.06,-13.1,-6.94,3.57,-6.2,-1.28,13.24,1.92,47.6,11.5,-12.37,-63.01,32.04,-1.02,-60.37,2.04,25.55,80.5,15.99,4.23,-0.49,1.43,-14.08,112.07,-13.15
1834,14.3203,-2.22,19.41,2.3,6.77,49.01,2.2,6.06,29.01,-1.78,13.85,-23.57,28.69,5.1,9.88,-13.21,-7.24,3.48,-6.33,-1.13,13.25,1.97,47.63,11.2,-12.46,-63.08,32.37,-0.95,-60.41,2.04,27.69,80.39,14.58,4.07,0.48,1.8,-13.59,111.13,-8.51
1835,14.3281,-2.19,19.38,2.45,6.98,49.12,2.18,6.33,29.15,-1.51,13.88,-23.72,28.68,5.3,9.69,-13.31,-7.52,3.39,-6.47,-0.96,13.27,2,47.65,10.92,-12.65,-63.41,32.6,-0.9,-60.44,2.02,29.68,80.3,13.17,3.89,1.46,2.17,-13,110,-3.99
1836,14.3359,-2.17,19.35,2.59,7.19,49.25,2.16,6.6,29.32,-1.25,13.92,-23.86,28.65,5.49,9.49,-13.39,-7.79,3.31,-6.61,-0.78,13.29,2.01,47.7,10.63,-12.95,-64.04,32.69,-0.87,-60.47,1.99,31.56,80.35,11.74,3.69,2.41,2.54,-12.34,108.77,0.43
1837,14.3438,-2.14,19.34,2.72,7.4,49.39,2.15,6.86,29.53,-1,13.96,-24.01,28.61,5.67,9.28,-13.45,-8.05,3.24,-6.74,-0.58,13.32,2.05,47.76,10.33,-13.32,-64.96,32.59,-0.84,-60.52,2,33.35,80.61,10.3,3.47,3.3,2.89,-11.56,107.52,4.71
1838,14.3516,-2.1,19.34,2.83,7.58,49.54,2.15,7.12,29.79,-0.76,13.99,-24.16,28.55,5.85,9.08,-13.49,-8.3,3.18,-6.86,-0.36,13.35,2.13,47.83,10.01,-13.72,-66.1,32.32,-0.78,-60.58,2.06,35.04,81.03,8.86,3.24,4.12,3.23,-10.58,106.29,8.79
1839,14.3594,-2.07,19.34,2.92,7.74,49.7,2.18,7.38,30.08,-0.54,14.02,-24.32,28.49,6.03,8.86,-13.51,-8.54,3.13,-6.98,-0.13,13.39,2.21,47.93,9.65,-14.13,-67.36,31.91,-0.72,-60.65,2.15,36.66,81.55,7.43,2.99,4.92,3.55,-9.47,105.1,12.61
1840,14.3672,-2.03,19.37,3,7.88,49.86,2.22,7.64,30.41,-0.34,14.03,-24.48,28.43,6.22,8.66,-13.51,-8.78,3.09,-7.09,0.11,13.44,2.28,48.05,9.26,-14.54,-68.69,31.42,-0.65,-60.73,2.25,38.26,82.22,6,2.72,5.75,3.87,-8.42,104.05,16.24
1841,14.375,-1.99,19.4,3.05,7.98,50.02,2.27,7.9,30.78,-0.15,14.04,-24.66,28.38,6.41,8.44,-13.5,-9,3.06,-7.19,0.35,13.5,2.35,48.2,8.85,-15,-70.1,30.92,-0.58,-60.81,2.37,39.9,83.18,4.51,2.42,6.59,4.17,-7.54,103.3,19.88
1842,14.3828,-1.95,19.44,3.08,8.06,50.18,2.33,8.18,31.17,0.02,14.05,-24.84,28.32,6.61,8.22,-13.48,-9.22,3.04,-7.28,0.58,13.55,2.41,48.38,8.41,-15.59,-71.57,30.47,-0.51,-60.92,2.51,41.56,84.46,2.98,2.09,7.43,4.45,-6.75,102.94,23.55
1843,14.3906,-1.9,19.5,3.1,8.13,50.33,2.41,8.46,31.59,0.18,14.06,-25.04,28.28,6.8,8.01,-13.46,-9.42,3.03,-7.37,0.8,13.61,2.43,48.6,7.95,-16.32,-72.92,30.17,-0.47,-61.09,2.63,43.21,85.93,1.45,1.71,8.31,4.72,-5.9,103.09,27.21
1844,14.3984,-1.86,19.57,3.08,8.17,50.47,2.48,8.73,32.01,0.31,14.07,-25.23,28.24,6.99,7.79,-13.45,-9.61,3.03,-7.45,0.99,13.65,2.42,48.84,7.47,-17.04,-73.93,30.07,-0.46,-61.3,2.74,44.78,87.35,-0.07,1.27,9.26,4.98,-4.89,103.71,30.7
1845,14.4063,-1.81,19.65,3.04,8.2,50.59,2.55,8.98,32.44,0.44,14.08,-25.42,28.2,7.18,7.57,-13.44,-9.79,3.05,-7.52,1.16,13.69,2.4,49.08,6.96,-17.57,-74.49,30.14,-0.44,-61.55,2.87,46.17,88.53,-1.61,0.79,10.21,5.21,-3.76,104.64,33.77
1846,14.4141,-1.76,19.72,2.98,8.24,50.68,2.61,9.23,32.87,0.56,14.08,-25.61,28.16,7.37,7.35,-13.43,-9.94,3.08,-7.59,1.3,13.72,2.39,49.3,6.45,-17.85,-74.66,30.32,-0.43,-61.83,3.01,47.26,89.51,-3.2,0.27,11.14,5.42,-2.63,105.76,36.12
1847,14.4219,-1.7,19.79,2.92,8.27,50.74,2.65,9.48,33.28,0.68,14.08,-25.78,28.13,7.54,7.14,-13.43,-10.07,3.11,-7.65,1.41,13.75,2.38,49.52,5.94,-17.8,-74.48,30.54,-0.42,-62.12,3.16,47.98,90.29,-4.83,-0.3,12.08,5.62,-1.66,107.04,37.65
1848,14.4297,-1.65,19.85,2.87,8.3,50.79,2.68,9.7,33.63,0.79,14.08,-25.92,28.11,7.69,6.93,-13.42,-10.19,3.15,-7.71,1.5,13.77,2.36,49.73,5.42,-17.5,-73.97,30.8,-0.41,-62.41,3.33,48.4,90.79,-6.22,-0.9,13.04,5.81,-1.1,108.45,38.52
1849,14.4375,-1.6,19.89,2.83,8.31,50.83,2.73,9.89,33.93,0.91,14.08,-26,28.11,7.82,6.73,-13.42,-10.28,3.19,-7.77,1.57,13.78,2.31,49.91,4.9,-17.09,-73.14,31.13,-0.42,-62.67,3.51,48.63,90.78,-6.87,-1.53,14.02,5.98,-1.13,109.74,38.82
1850,14.4453,-1.54,19.92,2.82,8.3,50.85,2.79,10.07,34.2,1.03,14.09,-26.05,28.13,7.95,6.54,-13.4,-10.34,3.21,-7.84,1.62,13.79,2.23,50.05,4.38,-16.67,-72.1,31.54,-0.45,-62.88,3.71,48.73,90.22,-6.59,-2.2,15.01,6.13,-1.74,110.66,38.52
1851,14.4531,-1.47,19.93,2.82,8.29,50.85,2.85,10.23,34.43,1.14,14.12,-26.07,28.16,8.08,6.39,-13.4,-10.37,3.22,-7.9,1.66,13.8,2.13,50.12,3.87,-16.25,-70.93,32,-0.5,-63.04,3.92,48.72,89.14,-5.51,-2.9,16.02,6.25,-2.68,111.05,37.68
1852,14.4609,-1.41,19.93,2.86,8.3,50.83,2.9,10.35,34.6,1.25,14.14,-26.06,28.21,8.22,6.28,-13.4,-10.36,3.21,-7.98,1.68,13.81,2.03,50.13,3.41,-15.81,-69.57,32.57,-0.58,-63.15,4.16,48.63,87.69,-3.93,-3.65,17.07,6.32,-3.67,111.1,36.49
1853,14.4688,-1.34,19.91,2.91,8.3,50.82,2.94,10.44,34.72,1.34,14.16,-26.03,28.27,8.36,6.23,-13.39,-10.32,3.18,-8.05,1.67,13.81,1.93,50.08,2.97,-15.3,-68.15,33.17,-0.69,-63.2,4.42,48.46,86.18,-2.27,-4.44,18.12,6.34,-4.46,110.92,35.02
1854,14.4766,-1.28,19.89,2.97,8.25,50.81,3,10.51,34.78,1.42,14.16,-25.96,28.34,8.49,6.23,-13.37,-10.26,3.13,-8.14,1.63,13.81,1.79,49.99,2.54,-14.73,-66.83,33.7,-0.83,-63.21,4.72,48.19,84.8,-0.71,-5.27,19.17,6.29,-4.92,110.54,33.34
1855,14.4844,-1.23,19.85,3.03,8.16,50.83,3.1,10.54,34.77,1.47,14.15,-25.86,28.4,8.6,6.3,-13.32,-10.16,3.05,-8.22,1.57,13.8,1.64,49.86,2.1,-14.22,-65.62,34.06,-1,-63.2,5.06,47.74,83.53,0.78,-6.14,20.21,6.16,-5.12,109.92,31.53
1856,14.4922,-1.2,19.81,3.08,8.06,50.89,3.21,10.57,34.71,1.48,14.12,-25.71,28.45,8.7,6.43,-13.26,-10.04,2.95,-8.32,1.46,13.79,1.5,49.74,1.66,-13.8,-64.73,34.11,-1.19,-63.18,5.44,47.07,82.22,2.36,-7.04,21.24,5.92,-5.6,109.01,29.6
1857,14.5,-1.19,19.76,3.12,7.99,50.96,3.41,10.59,34.59,1.48,14.07,-25.55,28.5,8.78,6.61,-13.18,-9.9,2.83,-8.41,1.3,13.78,1.4,49.56,1.17,-13.48,-64.25,33.79,-1.46,-63.21,5.84,46.46,80.55,4.09,-8,22.16,5.55,-5.73,107.72,27.35
1858,14.5078,-1.2,19.71,3.15,7.9,51,3.8,10.61,34.44,1.45,13.98,-25.37,28.56,8.85,6.84,-13.09,-9.76,2.7,-8.49,1.09,13.74,1.27,49.3,0.53,-13.3,-64.18,33.05,-1.79,-63.2,6.24,45.95,79.99,4.8,-8.99,23.02,5.01,-5.2,106.45,25.01
1859,14.5156,-1.2,19.68,3.13,7.89,51.06,4.16,10.58,34.28,1.34,13.91,-25.17,28.58,8.9,7.13,-12.98,-9.63,2.49,-8.35,0.81,13.67,1.2,49.06,-0.12,-13.06,-64.66,32.31,-2.16,-63.08,6.65,45.94,81.48,3.49,-10,23.97,4.31,-5.28,106.83,23.89
1860,14.5234,-1.16,19.63,3.09,8.09,51.09,4.3,10.5,34.08,1.18,13.84,-24.9,28.61,8.95,7.44,-12.86,-9.56,2.26,-8.42,0.47,13.58,1.33,48.84,-0.56,-13.13,-64.92,31.95,-2.58,-63.05,7.1,46.07,83.22,1.98,-11.04,24.88,3.46,-5.35,107.57,22.82
1861,14.5313,-1.14,19.57,3.08,8.41,51.1,4.29,10.44,33.83,1.05,13.73,-24.53,28.68,8.99,7.76,-12.71,-9.54,2,-8.49,0.11,13.46,1.61,48.68,-0.75,-13.42,-64.75,31.91,-3.06,-63.2,7.65,46.04,84.65,1.12,-12.08,25.64,2.51,-5.67,108.18,21.08
1862,14.5391,-1.13,19.49,3.06,8.65,51.11,4.25,10.34,33.53,0.94,13.61,-24.06,28.74,9.03,8.05,-12.54,-9.55,1.72,-8.55,-0.22,13.35,1.89,48.56,-0.87,-13.54,-64.21,32.03,-3.56,-63.38,8.34,45.91,85.97,0.35,-13.2,26.35,1.48,-6.22,109.17,19.2
1863,14.5469,-1.14,19.41,3,8.67,51.09,4.26,10.2,33.21,0.82,13.5,-23.54,28.74,9.04,8.33,-12.35,-9.54,1.47,-8.62,-0.48,13.26,2.04,48.43,-1,-13.39,-63.23,32.24,-4.11,-63.53,9.17,45.74,86.87,-0.15,-14.45,27.09,0.25,-6.38,110.69,17.53
1864,14.5547,-1.15,19.36,2.92,8.58,51.05,4.26,10.04,32.89,0.7,13.4,-23.01,28.68,9.03,8.6,-12.13,-9.48,1.29,-8.67,-0.66,13.23,2.14,48.23,-1.07,-12.99,-61.79,32.48,-4.71,-63.58,10.15,45.45,87.08,-0.25,-15.78,27.82,-1.15,-6.71,112.52,16.55
